timestamp,session_id,temperature,humidity,light,study_duration,posture,user_presence,owner_mode,focus_score,fatigue_score,productivity_class,recommendation
2026-06-27T13:31:54.593815,SESS_0001,25.2,50.5,512.4,6.8,Slight Lean,0,1,0.0,0.0,Inactive,User Absent
2026-06-27T13:56:54.593815,SESS_0001,26.6,52.0,530.5,49.3,Good,1,1,94.5,18.6,High Focus,Excellent Focus
2026-06-27T14:21:54.593815,SESS_0001,23.9,49.4,492.1,22.6,Moderate Lean,1,1,85.3,21.6,High Focus,Excellent Focus
2026-06-27T14:46:54.593815,SESS_0001,22.4,49.5,442.9,18.3,Good,1,1,98.5,5.7,High Focus,Excellent Focus
2026-06-27T15:11:54.593815,SESS_0001,24.6,46.0,452.8,37.4,Good,1,1,97.0,11.4,High Focus,Excellent Focus
2026-06-27T15:36:54.593815,SESS_0001,25.8,52.0,448.2,23.2,Good,1,1,96.0,8.2,High Focus,Excellent Focus
2026-06-27T16:01:54.593815,SESS_0001,25.7,46.7,490.4,31.6,Moderate Lean,0,1,0.0,0.0,Inactive,User Absent
2026-06-27T16:26:54.593815,SESS_0001,21.8,51.8,524.1,102.0,Slight Lean,1,1,85.1,39.4,High Focus,Excellent Focus
2026-06-27T16:51:54.593815,SESS_0001,22.4,48.5,457.0,13.2,Poor,1,0,78.3,35.3,Moderate Focus,Good Productivity
2026-06-27T17:16:54.593815,SESS_0001,24.7,53.0,524.4,52.2,Good,1,1,94.8,17.8,High Focus,Excellent Focus
2026-06-27T17:41:54.593815,SESS_0001,25.0,54.4,456.0,14.9,Moderate Lean,1,1,87.6,17.9,High Focus,Excellent Focus
2026-06-27T18:06:54.593815,SESS_0001,23.2,53.9,494.8,25.6,Poor,1,1,81.5,35.9,High Focus,Excellent Focus
2026-06-27T18:31:54.593815,SESS_0001,25.0,56.4,478.2,29.6,Moderate Lean,1,1,91.4,15.4,High Focus,Excellent Focus
2026-06-27T18:56:54.593815,SESS_0001,24.4,46.0,532.1,28.4,Slight Lean,1,0,90.1,17.5,High Focus,Excellent Focus
2026-06-27T19:21:54.593815,SESS_0001,26.6,49.2,439.6,106.2,Good,1,0,83.3,42.5,High Focus,Excellent Focus
2026-06-27T19:46:54.593815,SESS_0002,26.1,51.9,495.7,8.3,Good,1,1,97.2,6.3,High Focus,Excellent Focus
2026-06-27T20:11:54.593815,SESS_0002,23.5,49.9,460.4,68.2,Slight Lean,1,1,87.7,25.4,High Focus,Excellent Focus
2026-06-27T20:36:54.593815,SESS_0002,25.0,49.6,465.5,16.5,Good,1,1,96.9,7.8,High Focus,Excellent Focus
2026-06-27T21:01:54.593815,SESS_0002,27.1,51.6,492.9,131.3,Slight Lean,1,1,82.0,43.0,High Focus,Excellent Focus
2026-06-27T21:26:54.593815,SESS_0002,22.2,47.2,430.4,5.0,Slight Lean,1,1,91.8,13.1,High Focus,Excellent Focus
2026-06-27T21:51:54.593815,SESS_0002,24.2,52.1,478.3,150.0,Poor,1,1,65.7,72.5,Moderate Focus,Good Productivity
2026-06-27T22:16:54.593815,SESS_0002,22.9,48.3,518.7,52.1,Slight Lean,1,1,95.3,15.6,High Focus,Excellent Focus
2026-06-27T22:41:54.593815,SESS_0002,25.3,58.7,430.5,5.0,Good,0,1,0.0,0.0,Inactive,User Absent
2026-06-27T23:06:54.593815,SESS_0002,23.7,57.0,523.7,5.0,Good,1,1,93.5,7.9,High Focus,Excellent Focus
2026-06-27T23:31:54.593815,SESS_0002,23.0,52.7,434.0,110.4,Moderate Lean,1,1,81.7,42.7,High Focus,Excellent Focus
